기준년도,특수일구분명,특수일전후특송기간범위구분명,특수일전후특송기간범위구분코드,기준시,교통량(대)
2021,설날,D-3,1,19,240324
2021,설날,D,4,20,179532
2021,추석,D-2,2,06,99498
2021,추석,D,4,01,27156
2021,추석,D-3,1,08,224184
2021,추석,D+2,6,20,156177
2021,추석,D+2,6,10,268415
2021,설날,D,4,12,357501
2021,설날,D+3,7,06,182007
2021,설날,D-2,2,04,30353
2021,설날,D+3,7,01,23252
2021,추석,D+2,6,18,290501
2021,설날,D+1,5,11,312138
2021,설날,D,4,15,362466
2021,설날,D-1,3,06,74213
2021,추석,D+3,7,17,337487
2021,설날,D-3,1,17,311787
2021,설날,D+1,5,02,15899
2021,설날,D+2,6,11,231780
2021,추석,D-2,2,20,188752
2021,설날,D+2,6,06,39956
2021,추석,D,4,02,17167
2021,설날,D,4,00,30010
2021,설날,D+3,7,14,266168
2021,설날,D-1,3,08,152902
2021,설날,D+3,7,22,85102
2021,추석,D+2,6,17,312511
2021,추석,D+3,7,00,38697
2021,설날,D+1,5,21,165136
2021,설날,D-1,3,17,254628
2021,추석,D,4,15,381503
2021,추석,D+3,7,14,295104
2021,추석,D-1,3,09,236229
2021,추석,D+2,6,16,293605
2021,설날,D+2,6,08,88822
2021,추석,D-2,2,14,324871
2021,추석,D-1,3,14,317320
2021,추석,D-1,3,08,171450
2021,설날,D-3,1,14,290357
2021,추석,D-1,3,23,72217
2021,설날,D,4,19,202603
2021,설날,D-1,3,13,286475
2021,설날,D-3,1,01,24920
2021,설날,D-1,3,12,298449
2021,추석,D,4,03,13590
2021,설날,D-1,3,20,131475
2021,설날,D+2,6,07,62658
2021,추석,D,4,04,15814
2021,추석,D-1,3,06,84950
2021,추석,D+1,5,22,127254
2021,설날,D-1,3,14,287053
2021,추석,D,4,19,246195
2021,설날,D+2,6,17,256993
2021,설날,D-1,3,07,112552
2021,추석,D+3,7,12,269066
2021,추석,D+1,5,08,121834
2021,추석,D,4,10,287184
2021,설날,D,4,06,60545
2021,설날,D+3,7,12,246513
2021,추석,D+2,6,09,255053
2021,설날,D+3,7,13,257670
2021,추석,D+3,7,06,205647
2021,추석,D-3,1,19,212203
2021,추석,D-1,3,00,53920
2021,설날,D-3,1,06,176207
