기준년도,특수일구분명,특수일전후특송기간범위구분명,특수일전후특송기간범위구분코드,기준시,통행시간(분)
2021,설날,D+1,5,11,261.361000000000000000000000
2021,설날,D+1,5,12,255.874500000000000000000000
2021,설날,D+1,5,13,256.491000000000000000000000
2021,설날,D+1,5,14,262.766500000000000000000000
2021,설날,D+1,5,15,260.808000000000000000000000
2021,설날,D+1,5,16,264.749500000000000000000000
2021,설날,D+1,5,17,260.174500000000000000000000
2021,설날,D+1,5,18,257.683000000000000000000000
2021,설날,D+1,5,19,282.183000000000000000000000
2021,설날,D+1,5,20,269.416000000000000000000000
2021,설날,D+1,5,21,262.966000000000000000000000
2021,설날,D+1,5,22,258.800000000000000000000000
2021,설날,D+1,5,23,259.033000000000000000000000
2021,설날,D+2,6,00,217.583000000000000000000000
2021,설날,D+2,6,01,221.833000000000000000000000
2021,설날,D+2,6,02,
2021,설날,D+2,6,03,241.116000000000000000000000
2021,설날,D+2,6,04,238.566000000000000000000000
2021,설날,D+2,6,05,235.366000000000000000000000
2021,설날,D+2,6,06,232.150000000000000000000000
2021,설날,D+2,6,07,242.366000000000000000000000
2021,설날,D+2,6,08,257.383000000000000000000000
2021,설날,D+2,6,09,249.241500000000000000000000
2021,설날,D+2,6,10,246.125000000000000000000000
2021,설날,D+2,6,11,249.716000000000000000000000
2021,설날,D+2,6,12,260.424500000000000000000000
2021,설날,D+2,6,13,265.666500000000000000000000
2021,설날,D+2,6,14,270.958000000000000000000000
2021,설날,D+2,6,15,270.516000000000000000000000
2021,설날,D+2,6,16,254.105000000000000000000000
2021,설날,D+2,6,17,274.474500000000000000000000
2021,설날,D+2,6,18,283.933000000000000000000000
2021,설날,D+2,6,19,282.083000000000000000000000
2021,설날,D+2,6,20,249.841000000000000000000000
2021,설날,D+2,6,21,273.483000000000000000000000
2021,설날,D+2,6,22,271.433000000000000000000000
2021,설날,D+3,7,00,218.908000000000000000000000
2021,설날,D+3,7,01,226.924500000000000000000000
2021,설날,D+3,7,02,234.574500000000000000000000
2021,설날,D+3,7,03,237.591000000000000000000000
2021,설날,D+3,7,04,240.708000000000000000000000
2021,설날,D+3,7,05,243.816000000000000000000000
2021,설날,D+3,7,06,252.924500000000000000000000
2021,설날,D+3,7,07,260.333000000000000000000000
2021,설날,D+3,7,08,261.683000000000000000000000
2021,설날,D+3,7,09,264.683000000000000000000000
2021,설날,D+3,7,10,271.116000000000000000000000
2021,설날,D+3,7,11,278.333000000000000000000000
2021,설날,D+3,7,12,279.883000000000000000000000
2021,설날,D+3,7,13,278.724500000000000000000000
2021,설날,D+3,7,14,271.108000000000000000000000
2021,설날,D+3,7,15,279.733000000000000000000000
2021,설날,D+3,7,16,278.316333333333333333333333
2021,설날,D+3,7,17,276.416000000000000000000000
2021,설날,D+3,7,18,282.133000000000000000000000
2021,설날,D+3,7,19,283.983000000000000000000000
2021,설날,D+3,7,20,285.816000000000000000000000
2021,설날,D+3,7,21,278.666000000000000000000000
2021,추석,D-3,1,00,257.041500000000000000000000
2021,추석,D-3,1,01,260.999500000000000000000000
2021,추석,D-3,1,02,259.424500000000000000000000
2021,추석,D-3,1,03,253.741500000000000000000000
2021,추석,D-3,1,04,254.716000000000000000000000
2021,추석,D-3,1,05,262.149500000000000000000000
2021,추석,D-3,1,06,276.074500000000000000000000
2021,추석,D-3,1,07,294.591000000000000000000000
2021,추석,D-3,1,08,292.133000000000000000000000
2021,추석,D-3,1,09,302.983000000000000000000000
2021,추석,D-3,1,10,322.025000000000000000000000
2021,추석,D-3,1,11,348.421666666666666666666666
2021,추석,D-3,1,12,345.416333333333333333333333
2021,추석,D-3,1,13,352.644333333333333333333333
2021,추석,D-3,1,14,358.877333333333333333333333
2021,추석,D-3,1,15,359.282666666666666666666666
2021,추석,D-3,1,16,345.616333333333333333333333
2021,추석,D-3,1,17,353.787250000000000000000000
2021,추석,D-3,1,18,345.937000000000000000000000
2021,추석,D-3,1,19,341.216333333333333333333333
2021,추석,D-3,1,20,357.391000000000000000000000
2021,추석,D-3,1,21,348.308000000000000000000000
2021,추석,D-3,1,22,340.375000000000000000000000
2021,추석,D-3,1,23,324.824500000000000000000000
2021,추석,D-2,2,00,290.900000000000000000000000
2021,추석,D-2,2,01,277.366500000000000000000000
2021,추석,D-2,2,02,264.121666666666666666666666
2021,추석,D-2,2,03,268.266333333333333333333333
2021,추석,D-2,2,04,266.560666666666666666666666
2021,추석,D-2,2,05,307.149666666666666666666666
2021,추석,D-2,2,06,293.872000000000000000000000
2021,추석,D-2,2,07,289.944000000000000000000000
2021,추석,D-2,2,08,293.350000000000000000000000
2021,추석,D-2,2,09,300.841500000000000000000000
2021,추석,D-2,2,10,309.433000000000000000000000
2021,추석,D-2,2,11,323.833000000000000000000000
2021,추석,D-2,2,12,332.249500000000000000000000
2021,추석,D-2,2,13,343.599500000000000000000000
2021,추석,D-2,2,14,346.891000000000000000000000
2021,추석,D-2,2,15,374.521666666666666666666666
2021,추석,D-2,2,16,341.966500000000000000000000
2021,추석,D-2,2,17,341.841500000000000000000000
2021,추석,D-2,2,18,344.958000000000000000000000
2021,추석,D-2,2,19,335.591500000000000000000000
2021,추석,D-2,2,20,368.250000000000000000000000
2021,추석,D-2,2,21,345.466000000000000000000000
2021,추석,D-2,2,22,381.316500000000000000000000
2021,추석,D-2,2,23,312.300000000000000000000000
2021,추석,D-1,3,00,228.716000000000000000000000
2021,추석,D-1,3,01,240.875000000000000000000000
2021,추석,D-1,3,02,243.633000000000000000000000
2021,추석,D-1,3,03,242.016500000000000000000000
2021,추석,D-1,3,04,254.077666666666666666666666
2021,추석,D-1,3,05,248.641000000000000000000000
2021,추석,D-1,3,06,251.149500000000000000000000
2021,추석,D-1,3,07,255.824500000000000000000000
2021,추석,D-1,3,08,261.233000000000000000000000
2021,추석,D-1,3,09,275.872000000000000000000000
2021,추석,D-1,3,10,288.558000000000000000000000
2021,추석,D-1,3,11,294.608000000000000000000000
2021,추석,D-1,3,12,296.066000000000000000000000
2021,추석,D-1,3,13,295.425000000000000000000000
2021,추석,D-1,3,14,296.583000000000000000000000
2021,추석,D-1,3,15,297.049500000000000000000000
